feature,grupo,disponibilidade,descricao,status,nota
level_t,alvo_na_origem,conhecido em t,Nível do alvo observado na origem.,aprovado,
PM10_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
SO2_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
NO2_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
CO_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
O3_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
TEMP_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
PRES_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
DEWP_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
RAIN_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
WSPM_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
wd_sin_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
wd_cos_t,estado_na_origem,conhecido em t,Valor observado na origem para prever o passo seguinte.,em_validacao,Simultânea ao alvo; usada só como estado de t para prever t+1.
target_lag_1,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,derivada,
target_lag_2,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,derivada,
target_lag_3,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,derivada,
target_lag_24,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,derivada,
target_lag_48,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,derivada,
target_lag_168,defasagem,somente passado,Defasagem positiva; exclui a observação da data-alvo.,derivada,
target_mean_24,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,derivada,
target_std_24,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,derivada,
target_mean_168,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,derivada,
target_std_168,janela_deslocada,termina em t-1,Janela móvel deslocada para não incluir o valor previsto.,derivada,
target_hour_sin,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,derivada,
target_hour_cos,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,derivada,
target_dow_sin,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,derivada,
target_dow_cos,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,derivada,
target_month_sin,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,derivada,
target_month_cos,calendario,conhecido antecipadamente,Codificação cíclica da data-alvo.,derivada,
